"Label","Register","Decimal","Hex","BiosMode"
"0x2F Fan control","0x2F","128","0x80","yes (0x80)"
"0x31 Fan switch","0x31","33","0x21",""
"0x84 Fan speed lo","0x84","60","0x3C",""
"0x85 Fan speed hi","0x85","7","0x07",""
"0x78 Temp0","0x78","74","0x4A",""
"0x79 Temp1","0x79","53","0x35",""
"0x7A Temp2","0x7A","0","0x00",""
"0x7B Temp3","0x7B","0","0x00",""
"0x7C Temp4","0x7C","0","0x00",""
"0x7D Temp5","0x7D","0","0x00",""
"0x7E Temp6","0x7E","0","0x00",""
"0x7F Temp7","0x7F","0","0x00",""
"0xC0 Temp8","0xC0","0","0x00",""
"0xC1 Temp9","0xC1","0","0x00",""
"0xC2 Temp10","0xC2","0","0x00",""
"0xC3 Temp11","0xC3","0","0x00",""
