   | 00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F
---|------------------------------------------------
00 | A6 05 B8 E7 00 86 05 00 00 04 47 01 00 00 80 00 
10 | 00 00 FF FF D0 BC 00 7D 7B FF 00 00 FF FF 1D 00 
20 | 00 00 00 00 4B 00 08 16 00 00 00 17 BF 00 00 80 
30 | 00 81 14 00 70 04 00 00 83 00 70 10 00 5F 00 00 
40 | 00 00 00 00 00 00 30 CA 40 1D 00 00 00 00 00 00 
50 | 00 80 02 03 00 00 00 20 2C B1 04 13 00 00 00 00 
60 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
70 | 00 00 00 00 04 00 00 00 48 33 00 00 00 00 00 00 
80 | 00 60 05 06 32 09 02 00 00 00 00 00 00 00 2B 00 
90 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
A0 | 48 2E 46 33 22 80 1D 80 2D 28 22 80 23 2D 80 80 
B0 | 46 4B 00 00 00 00 00 00 00 00 87 05 00 00 00 00 
C0 | 00 00 00 00 00 00 00 00 01 87 00 06 01 19 00 00 
D0 | 17 C0 00 00 00 00 00 00 00 00 00 00 00 00 07 04 
E0 | 00 00 00 00 00 00 00 00 11 60 03 22 E4 AE 44 03 
F0 | 4E 32 43 48 54 32 36 57 27 7D 44 02 00 00 00 00 
